calendar_quarter,ticker,side,formation_date,next_formation_date,start_trade_date,end_trade_date,max_abs_shrink,leg_weight,signed_weight,start_price,end_price,raw_return
2018Q1,SBAC,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.25537109375,0.01098901098901099,0.01098901098901099,154.22100830078125,150.57345581054688,-0.023651463120513805
2018Q1,HD,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.255859375,0.01098901098901099,0.01098901098901099,141.1654815673828,160.18264770507812,0.13471541290791977
2018Q1,PPL,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.255859375,0.01098901098901099,0.01098901098901099,19.59513282775879,20.260915756225582,0.033976954089519396
2018Q1,VLO,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.25634765625,0.01098901098901099,0.01098901098901099,66.41388702392578,80.95035552978516,0.21887694211637654
2018Q1,XOM,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.25634765625,0.01098901098901099,0.01098901098901099,50.61634063720703,57.77020263671875,0.1413350295468232
2018Q1,KKR,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.2568359375,0.01098901098901099,0.01098901098901099,17.941654205322266,22.58637046813965,0.2588789310987589
2018Q1,HUM,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.257080078125,0.01098901098901099,0.01098901098901099,260.9877319335937,277.1927185058594,0.06209098968831572
2018Q1,FANG,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.257568359375,0.01098901098901099,0.01098901098901099,93.46630096435548,100.67601776123048,0.07713707210499865
2018Q1,OKE,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.2576904296875,0.01098901098901099,0.01098901098901099,33.49070358276367,42.21571731567383,0.26052046686175245
2018Q1,AFL,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.2586669921875,0.01098901098901099,0.01098901098901099,35.4637336730957,35.70792388916016,0.006885631905410916
2018Q1,MRK,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.259033203125,0.01098901098901099,0.01098901098901099,39.47177505493164,45.3248176574707,0.14828425107291388
2018Q1,VICI,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.259765625,0.01098901098901099,0.01098901098901099,11.692625999450684,13.36401653289795,0.1429439831160073
2018Q1,HRL,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.26025390625,0.01098901098901099,0.01098901098901099,26.312408447265625,29.392608642578125,0.11706264751422224
2018Q1,MOS,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.260498046875,0.01098901098901099,0.01098901098901099,20.45154190063477,24.25774383544922,0.18610831170124698
2018Q1,APTV,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.2607421875,0.01098901098901099,0.01098901098901099,80.32587432861328,90.43466186523438,0.12584721450109626
2018Q1,GM,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.2607421875,0.01098901098901099,0.01098901098901099,31.601560592651367,35.122093200683594,0.11140375797930968
2018Q1,DGX,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.260986328125,0.01098901098901099,0.01098901098901099,82.51331329345703,93.2228012084961,0.1297910299269036
2018Q1,ALGN,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.26220703125,0.01098901098901099,0.01098901098901099,242.69000244140625,342.1400146484375,0.4097820726300496
2018Q1,CSGP,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.263427734375,0.01098901098901099,0.01098901098901099,35.112998962402344,41.26300048828125,0.17514885391772128
2018Q1,AMT,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.263916015625,0.01098901098901099,0.01098901098901099,114.91531372070312,116.44056701660156,0.01327284629449399
2018Q1,ETN,long,2018-03-30,2018-06-29,2018-04-02,2018-06-29,0.263916015625,0.01098901098901099,0.01098901098901099,66.37236022949219,64.43610382080078,-0.029172631529096105
