calendar_quarter,formation_date,next_formation_date,start_trade_date,end_trade_date,selected_names,priced_names,leg_return_long,leg_return_short,usable_names_long,usable_names_short,long_short_return,price_coverage
2018Q1,2018-03-30,2018-06-29,2018-04-02,2018-06-29,182,176,0.05858647311160786,0.06206316643090634,91,85,-0.0034766933192984795,0.967032967032967
2018Q2,2018-06-29,2018-09-27,2018-06-29,2018-09-27,184,176,0.06608366096688971,0.05282269072522665,90,86,0.013260970241663061,0.9565217391304348
2018Q3,2018-09-27,2018-12-21,2018-09-27,2018-12-21,182,176,-0.14939509507278426,-0.15774391932923154,91,85,0.008348824256447285,0.967032967032967
2018Q4,2018-12-21,2019-03-29,2018-12-21,2019-03-29,186,177,0.19594946489193438,0.20664106545510785,91,86,-0.010691600563173476,0.9516129032258065
2019Q1,2019-03-29,2019-06-28,2019-03-29,2019-06-28,184,174,0.060764596897836046,0.030524745259143754,90,84,0.03023985163869229,0.9456521739130435
2019Q2,2019-06-28,2019-09-30,2019-06-28,2019-09-30,190,178,0.039870434041580985,0.0031686078385022845,91,87,0.0367018262030787,0.9368421052631579
2019Q3,2019-09-30,2019-12-23,2019-09-30,2019-12-23,188,181,0.07130849788543171,0.0981019281375085,90,91,-0.026793430252076783,0.9627659574468085
2019Q4,2019-12-23,2020-03-31,2019-12-23,2020-03-31,190,185,-0.17366848975292923,-0.237967700095265,94,91,0.06429921034233577,0.9736842105263158
2020Q1,2020-03-31,2020-06-29,2020-03-31,2020-06-29,190,182,0.24934619439717817,0.2487907219599157,91,91,0.0005554724372624775,0.9578947368421052
2020Q2,2020-06-29,2020-09-29,2020-06-29,2020-09-29,190,184,0.095437308794254,0.06403103572488092,93,91,0.031406273069373075,0.968421052631579
2020Q3,2020-09-29,2020-12-23,2020-09-29,2020-12-23,190,181,0.1131939241717675,0.25734638665834203,94,87,-0.14415246248657454,0.9526315789473684
2020Q4,2020-12-23,2021-03-31,2020-12-23,2021-03-31,192,184,0.10856826079727483,0.12357312126127865,96,88,-0.015004860464003816,0.9583333333333334
2021Q1,2021-03-31,2021-06-30,2021-03-31,2021-06-30,194,189,0.0972522011026911,0.05955935822707846,95,94,0.03769284287561264,0.9742268041237113
2021Q2,2021-06-30,2021-09-30,2021-06-30,2021-09-30,194,191,0.0042160357870042195,0.0013309663513740306,96,95,0.0028850694356301887,0.9845360824742269
2021Q3,2021-09-30,2021-12-22,2021-09-30,2021-12-22,192,186,0.09580021460132407,0.05429462796552159,93,93,0.04150558663580248,0.96875
2021Q4,2021-12-22,2022-03-31,2021-12-22,2022-03-31,194,190,-0.029246499422675754,0.005185958316860838,95,95,-0.03443245773953659,0.979381443298969
2022Q1,2022-03-31,2022-06-30,2022-03-31,2022-06-30,196,190,-0.12604921226122986,-0.15382148322048358,96,94,0.02777227095925372,0.9693877551020408
2022Q2,2022-06-30,2022-09-30,2022-06-30,2022-09-30,194,187,-0.039145466539051516,-0.03185275861166233,96,91,-0.007292707927389189,0.9639175257731959
2022Q3,2022-09-30,2022-12-29,2022-09-30,2022-12-29,194,187,0.13709099448399,0.12327355149934148,96,91,0.013817442984648529,0.9639175257731959
2022Q4,2022-12-29,2023-03-30,2022-12-29,2023-03-30,194,190,0.01900824667232751,0.044672221480525645,97,93,-0.025663974808198136,0.979381443298969
2023Q1,2023-03-30,2023-06-30,2023-03-30,2023-06-30,196,190,0.08510725701760234,0.1158407413709426,96,94,-0.03073348435334025,0.9693877551020408
2023Q2,2023-06-30,2023-09-29,2023-06-30,2023-09-29,196,189,-0.03901943754383259,-0.03935585317309363,96,93,0.0003364156292610457,0.9642857142857143
2023Q3,2023-09-29,2023-12-22,2023-09-29,2023-12-22,194,188,0.09885986595418121,0.14348716878771453,93,95,-0.04462730283353332,0.9690721649484536
2023Q4,2023-12-22,2024-03-29,2023-12-22,2024-04-01,196,191,0.08751847574758471,0.0863570795569148,94,97,0.0011613961906699194,0.9744897959183674
2024Q1,2024-03-29,2024-06-28,2024-04-01,2024-06-28,196,191,-0.012346444532574297,-0.015521088649680609,96,95,0.0031746441171063115,0.9744897959183674
2024Q2,2024-06-28,2024-09-30,2024-06-28,2024-09-30,198,192,0.09039112592971091,0.11764287129112984,97,95,-0.02725174536141893,0.9696969696969697
2024Q3,2024-09-30,2024-12-23,2024-09-30,2024-12-23,196,190,-0.009766319538207132,-0.0011878640986118783,96,94,-0.008578455439595255,0.9693877551020408
