calendar_quarter,formation_date,next_formation_date,start_trade_date,end_trade_date,selected_names,priced_names,leg_return_long,leg_return_short,usable_names_long,usable_names_short,long_short_return,price_coverage
2018Q1,2018-03-30,2018-06-29,2018-04-02,2018-04-11,182,176,0.01802879461616533,0.01869225512554282,91,85,-0.0006634605093774892,0.967032967032967
2018Q2,2018-06-29,2018-09-27,2018-06-29,2018-07-11,184,176,0.018853462741707207,0.01587397627116,90,86,0.0029794864705472088,0.9565217391304348
2018Q3,2018-09-27,2018-12-21,2018-09-27,2018-10-08,182,176,-0.011764842900685074,-0.01612394122343641,91,85,0.0043590983227513366,0.967032967032967
2018Q4,2018-12-21,2019-03-29,2018-12-21,2019-01-03,186,177,0.0033769966953198843,0.013641262551704282,91,86,-0.010264265856384399,0.9516129032258065
2019Q1,2019-03-29,2019-06-28,2019-03-29,2019-04-09,184,174,0.016303449698460096,0.015261592146995734,90,84,0.0010418575514643622,0.9456521739130435
2019Q2,2019-06-28,2019-09-30,2019-06-28,2019-07-10,190,178,0.016092635623714675,0.0093166130784885,91,87,0.006776022545226175,0.9368421052631579
2019Q3,2019-09-30,2019-12-23,2019-09-30,2019-10-09,188,181,-0.018456565243003223,-0.030346947130615455,90,91,0.011890381887612232,0.9627659574468085
2019Q4,2019-12-23,2020-03-31,2019-12-23,2020-01-03,190,185,0.0037900181721848727,-0.00048734229765687764,94,91,0.004277360469841751,0.9736842105263158
2020Q1,2020-03-31,2020-06-29,2020-03-31,2020-04-09,190,182,0.10884448274504316,0.11039769388939022,91,91,-0.0015532111443470609,0.9578947368421052
2020Q2,2020-06-29,2020-09-29,2020-06-29,2020-07-09,190,184,0.02505627586645156,-0.012851503615903216,93,91,0.03790777948235478,0.968421052631579
2020Q3,2020-09-29,2020-12-23,2020-09-29,2020-10-08,190,181,0.04566898568768869,0.0630234420101497,94,87,-0.017354456322461007,0.9526315789473684
2020Q4,2020-12-23,2021-03-31,2020-12-23,2021-01-05,192,184,0.000343188472130949,0.0028034362993159686,96,88,-0.0024602478271850197,0.9583333333333334
2021Q1,2021-03-31,2021-06-30,2021-03-31,2021-04-12,194,189,0.03090031254776754,0.026869153022482536,95,94,0.004031159525285002,0.9742268041237113
2021Q2,2021-06-30,2021-09-30,2021-06-30,2021-07-12,194,191,0.017013624425986557,0.006757699173861965,96,95,0.010255925252124591,0.9845360824742269
2021Q3,2021-09-30,2021-12-22,2021-09-30,2021-10-11,192,186,0.011160564476349543,0.019295806234363357,93,93,-0.008135241758013815,0.96875
2021Q4,2021-12-22,2022-03-31,2021-12-22,2022-01-03,194,190,0.019906790632818517,0.023282876807506504,95,95,-0.0033760861746879867,0.979381443298969
2022Q1,2022-03-31,2022-06-30,2022-03-31,2022-04-11,196,190,-0.01464763552404266,-0.011554929376020253,96,94,-0.0030927061480224075,0.9693877551020408
2022Q2,2022-06-30,2022-09-30,2022-06-30,2022-07-12,194,187,0.0010768544409616523,0.006165796051214304,96,91,-0.005088941610252652,0.9639175257731959
2022Q3,2022-09-30,2022-12-29,2022-09-30,2022-10-11,194,187,0.009186784344934255,0.010059335947421512,96,91,-0.0008725516024872572,0.9639175257731959
2022Q4,2022-12-29,2023-03-30,2022-12-29,2023-01-10,194,190,0.031566034160131325,0.03503400276233911,97,93,-0.0034679686022077855,0.979381443298969
2023Q1,2023-03-30,2023-06-30,2023-03-30,2023-04-11,196,190,0.008682856291246212,0.01934534560176253,96,94,-0.010662489310516316,0.9693877551020408
2023Q2,2023-06-30,2023-09-29,2023-06-30,2023-07-12,196,189,0.012856139581376996,0.01506260175762074,96,93,-0.0022064621762437446,0.9642857142857143
2023Q3,2023-09-29,2023-12-22,2023-09-29,2023-10-10,194,188,0.002313526765047972,0.005795971635993229,93,95,-0.0034824448709452572,0.9690721649484536
2023Q4,2023-12-22,2024-03-29,2023-12-22,2024-01-04,196,191,-0.009412819176018914,-0.012825937365333209,94,97,0.003413118189314295,0.9744897959183674
2024Q1,2024-03-29,2024-06-28,2024-04-01,2024-04-10,196,191,-0.01809198172874156,-0.023372758569534316,96,95,0.005280776840792756,0.9744897959183674
2024Q2,2024-06-28,2024-09-30,2024-06-28,2024-07-10,198,192,0.0012489403500592269,0.008832603368969384,97,95,-0.007583663018910157,0.9696969696969697
2024Q3,2024-09-30,2024-12-23,2024-09-30,2024-10-09,196,190,0.000506246222397911,-0.005185451794944978,96,94,0.005691698017342889,0.9693877551020408
2024Q4,2024-12-23,,2024-12-23,2025-01-03,196,193,0.0011095411946538322,0.0026067742501716174,98,95,-0.0014972330555177852,0.9846938775510204
